t_perf,lab_model,weights,phase,proc_cpu_pct,proc_rss_gb,sys_cpu_pct,sys_ram_pct,cpu_freq_mhz
53444.5980229,yolo8n,yolov8n.pt,warmup,33.1,0.12627792358398438,34.4,94.4,2515.0
53446.0658783,yolo8n,yolov8n.pt,warmup,527.3,0.18929672241210938,58.8,95.4,2515.0
53446.5851392,yolo8n,yolov8n.pt,warmup,773.9,0.19379806518554688,66.4,95.4,2515.0
53447.1728185,yolo8n,yolov8n.pt,warmup,808.3,0.19389724731445312,77.5,95.4,2515.0
53447.6896671,yolo8n,yolov8n.pt,measure,781.2,0.19394683837890625,80.3,95.3,2515.0
53448.2011502,yolo8n,yolov8n.pt,measure,743.3,0.19397735595703125,77.4,95.3,2515.0
53448.7151078,yolo8n,yolov8n.pt,measure,763.1,0.19405364990234375,76.1,95.1,2515.0
53449.2360615,yolo8n,yolov8n.pt,measure,820.6,0.19482421875,67.9,95.1,2515.0
53449.7636272,yolo8n,yolov8n.pt,measure,729.8,0.19485092163085938,71.7,95.1,2515.0
53450.2768319,yolo8n,yolov8n.pt,measure,754.0,0.19488143920898438,77.7,95.1,2515.0
53450.8317958,yolo8n,yolov8n.pt,measure,787.0,0.1949462890625,78.2,93.8,2515.0
53451.3404082,yolo8n,yolov8n.pt,measure,754.0,0.19500350952148438,75.9,93.7,2515.0
53451.8792641,yolo8n,yolov8n.pt,measure,818.0,0.19509124755859375,72.6,93.0,2515.0
53452.4326616,yolo8n,yolov8n.pt,measure,741.0,0.1951141357421875,78.0,92.2,2515.0
53452.9921357,yolo8n,yolov8n.pt,measure,781.3,0.19516754150390625,79.8,92.3,2515.0
53453.5263628,yolo8n,yolov8n.pt,measure,790.1,0.19520187377929688,72.6,92.4,2515.0
53454.064709,yolo8n,yolov8n.pt,measure,823.9,0.19543075561523438,80.1,92.3,2515.0
53454.6055679,yolo8n,yolov8n.pt,measure,725.5,0.19549560546875,80.4,92.3,2515.0
53455.1315939,yolo8n,yolov8n.pt,measure,747.4,0.19552230834960938,85.8,92.4,2515.0
53455.6416789,yolo8n,yolov8n.pt,measure,800.0,0.19554519653320312,77.7,92.4,2515.0
53456.1761839,yolo8n,yolov8n.pt,measure,768.0,0.19554901123046875,67.2,92.5,2515.0
53456.7251343,yolo8n,yolov8n.pt,measure,721.6,0.19555282592773438,81.5,92.5,2515.0
53457.2703299,yolo8n,yolov8n.pt,measure,711.3,0.19556045532226562,83.0,92.6,2515.0
53457.795681,yolo8n,yolov8n.pt,measure,725.1,0.19559097290039062,77.0,92.9,2515.0
53458.3128362,yolo8n,yolov8n.pt,measure,799.4,0.19559860229492188,73.4,93.2,2515.0
53458.8258347,yolo8n,yolov8n.pt,measure,731.2,0.19561767578125,77.5,93.4,2515.0
53459.3556395,yolo8n,yolov8n.pt,measure,775.4,0.19562911987304688,83.4,93.4,2515.0
53459.8983427,yolo8n,yolov8n.pt,measure,737.0,0.1956329345703125,85.5,93.5,2515.0
53460.4737526,yolo8n,yolov8n.pt,measure,667.7,0.1956329345703125,84.3,93.6,2515.0
53460.9885169,yolo8n,yolov8n.pt,measure,778.1,0.19563674926757812,80.6,93.5,2515.0
53461.5235418,yolo8n,yolov8n.pt,measure,757.0,0.1956634521484375,72.0,93.5,2515.0
53462.0318005,yolo8n,yolov8n.pt,measure,821.9,0.19568252563476562,77.8,93.8,2515.0
53462.548981,yolo8n,yolov8n.pt,measure,764.6,0.19568634033203125,80.1,94.0,2515.0
53464.1047793,yolo26n,yolo26n.pt,warmup,133.3,0.21598434448242188,34.0,94.2,2515.0
53465.0303748,yolo26n,yolo26n.pt,warmup,525.8,0.23260116577148438,67.1,94.1,2515.0
53465.5735536,yolo26n,yolo26n.pt,warmup,775.5,0.23932647705078125,65.5,93.9,2515.0
53466.1015869,yolo26n,yolo26n.pt,warmup,754.8,0.23931121826171875,70.7,93.5,2515.0
53466.6126054,yolo26n,yolo26n.pt,warmup,771.9,0.23932266235351562,72.9,93.4,2515.0
53467.1399914,yolo26n,yolo26n.pt,measure,753.3,0.2392730712890625,70.1,93.1,2515.0
53467.6934721,yolo26n,yolo26n.pt,measure,764.6,0.23928070068359375,78.4,92.5,2515.0
